timestamp,/load_data_x,/load_data_y,/load_data_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/video_frames_z,/motor_status_x,/motor_status_y,/motor_status_z
1767723992.5209877,,,,,,,80,,,
1767723992.5353954,,,,,,,,0.0,54.0,0.0
1767723992.5482795,310.5255,336.669,154.295,,,,,,,
1767723992.5618248,,,,0.0,-0.0,0.0,,,,
1767723992.5721085,,,,,,,81,,,
1767723992.5856469,,,,,,,,0.0,57.0,0.0
1767723992.5980425,310.8745,336.669,154.295,,,,,,,
1767723992.612602,,,,0.0,-0.0,0.0,,,,
1767723992.6243105,,,,,,,82,,,
1767723992.6353314,,,,,,,,0.0,57.0,0.0
1767723992.648383,310.8745,176.6755,109.293,,,,,,,
1767723992.6616387,,,,0.0,-0.0,0.0,,,,
1767723992.6719623,,,,,,,83,,,
1767723992.6854072,,,,,,,,0.0,60.0,0.0
1767723992.6981199,310.8745,176.6755,206.617,,,,,,,
1767723992.7117999,,,,0.0,-0.0,0.0,,,,
1767723992.7208567,,,,,,,84,,,
1767723992.7353666,,,,,,,,0.0,60.0,0.0
1767723992.7500591,311.2,176.6755,206.9135,,,,,,,
1767723992.7612858,,,,0.0,-0.0,0.0,,,,
1767723992.768528,,,,,,,85,,,
1767723992.7856274,,,,,,,,0.0,63.0,0.0
1767723992.7979474,311.2,176.6755,207.0855,,,,,,,
1767723992.8116107,,,,0.0,-0.0,0.0,,,,
1767723992.8206615,,,,,,,86,,,
1767723992.8354063,,,,,,,,0.0,63.0,0.0
1767723992.8476534,311.2,176.6755,207.2815,,,,,,,
1767723992.8617718,,,,0.0,-0.0,0.0,,,,
1767723992.8701723,,,,,,,87,,,
1767723992.8854659,,,,,,,,0.0,66.0,0.0
1767723992.8972816,311.2,176.6755,207.483,,,,,,,
1767723992.9120076,,,,0.0,-0.0,0.0,,,,
1767723992.923034,,,,,,,88,,,
1767723992.9353368,,,,,,,,0.0,66.0,0.0
1767723992.9477043,311.607,176.6755,207.7505,,,,,,,
1767723992.9620507,,,,0.0,-0.0,0.0,,,,
1767723992.9731588,,,,,,,89,,,
1767723992.9853559,,,,,,,,0.0,69.0,0.0
1767723992.9982634,311.607,176.6755,207.7505,,,,,,,
1767723993.0117955,,,,0.0,-0.0,0.0,,,,
1767723993.0222945,,,,,,,90,,,
1767723993.0353475,,,,,,,,0.0,69.0,0.0
1767723993.0503857,311.607,176.6755,207.804,,,,,,,
1767723993.0616775,,,,0.0,-0.0,0.0,,,,
1767723993.0716538,,,,,,,91,,,
1767723993.0854042,,,,,,,,0.0,72.0,0.0
1767723993.096474,312.015,176.6755,219.5835,,,,,,,
1767723993.1140409,,,,0.0,-0.0,0.0,,,,
1767723993.1190362,,,,,,,92,,,
1767723993.1358073,,,,,,,,0.0,72.0,0.0
1767723993.1501126,312.015,176.6755,219.5835,,,,,,,
1767723993.1615365,,,,0.0,-0.0,0.0,,,,
1767723993.1689086,,,,,,,93,,,
1767723993.1853957,,,,,,,,0.0,75.0,0.0
1767723993.1986597,312.015,176.6755,306.7435,,,,,,,
1767723993.2116141,,,,0.0,-0.0,0.0,,,,
1767723993.2208786,,,,,,,94,,,
1767723993.235532,,,,,,,,0.0,75.0,0.0
1767723993.2489417,312.015,176.6755,108.7735,,,,,,,
1767723993.2614698,,,,0.0,-0.0,0.0,,,,
1767723993.267544,,,,,,,95,,,
1767723993.2854867,,,,,,,,0.0,78.0,0.0
1767723993.2967823,312.59,176.6755,108.7735,,,,,,,
1767723993.3120189,,,,0.0,-0.0,0.0,,,,
1767723993.3209653,,,,,,,96,,,
1767723993.335421,,,,,,,,0.0,78.0,0.0
1767723993.3478405,312.59,176.6755,108.7735,,,,,,,
1767723993.3618553,,,,0.0,-0.0,0.0,,,,
1767723993.3685195,,,,,,,97,,,
1767723993.3855016,,,,,,,,0.0,75.0,0.0
1767723993.3968236,312.59,176.6755,106.578,,,,,,,
1767723993.4120634,,,,0.0,-0.0,0.0,,,,
1767723993.4229069,,,,,,,98,,,
1767723993.435389,,,,,,,,0.0,75.0,0.0
1767723993.4499083,312.98,176.6755,206.725,,,,,,,
1767723993.462532,,,,0.0,-0.0,0.0,,,,
1767723993.4710078,,,,,,,99,,,
1767723993.4854934,,,,,,,,0.0,72.0,0.0
1767723993.4990485,312.98,176.6755,206.9615,,,,,,,
1767723993.5123637,,,,0.0,-0.0,0.0,,,,
1767723993.5188673,,,,,,,100,,,
1767723993.5354125,,,,,,,,0.0,72.0,0.0
1767723993.5510058,312.98,176.6755,206.905,,,,,,,
1767723993.5616271,,,,0.0,-0.0,0.0,,,,
1767723993.5703332,,,,,,,101,,,
1767723993.5861788,,,,,,,,0.0,69.0,0.0
1767723993.5973504,312.98,191.371,206.905,,,,,,,
1767723993.6118066,,,,0.0,-0.0,0.0,,,,
1767723993.62178,,,,,,,102,,,
1767723993.6353636,,,,,,,,0.0,69.0,0.0
1767723993.6485908,313.539,191.371,207.092,,,,,,,
1767723993.6619327,,,,0.0,-0.0,0.0,,,,
1767723993.6695642,,,,,,,103,,,
1767723993.6855385,,,,,,,,0.0,66.0,0.0
1767723993.698134,313.539,191.371,207.032,,,,,,,
1767723993.7115216,,,,0.0,-0.0,0.0,,,,
1767723993.7187238,,,,,,,104,,,
1767723993.7357159,,,,,,,,0.0,66.0,0.0
1767723993.748335,313.539,191.371,207.082,,,,,,,
1767723993.7616336,,,,0.0,-0.0,0.0,,,,
1767723993.7669759,,,,,,,105,,,
1767723993.7856023,,,,,,,,0.0,63.0,0.0
1767723993.7972462,313.8075,191.371,207.4595,,,,,,,
1767723993.8115468,,,,0.0,-0.0,0.0,,,,
1767723993.8185742,,,,,,,106,,,
1767723993.8353603,,,,,,,,0.0,63.0,0.0
1767723993.8499393,313.8075,191.371,208.0905,,,,,,,
1767723993.8615396,,,,0.0,-0.0,0.0,,,,
1767723993.866727,,,,,,,107,,,
1767723993.8856325,,,,,,,,0.0,60.0,0.0
1767723993.8967054,313.8075,191.371,208.862,,,,,,,
1767723993.912206,,,,0.0,-0.0,0.0,,,,
1767723993.9227655,,,,,,,108,,,
1767723993.9353638,,,,,,,,0.0,60.0,0.0
1767723993.9476957,314.044,191.371,209.5945,,,,,,,
1767723993.9617698,,,,0.0,-0.0,0.0,,,,
1767723993.9695709,,,,,,,109,,,
1767723993.985512,,,,,,,,0.0,57.0,0.0
1767723993.9965134,314.044,191.371,209.955,,,,,,,
1767723994.0117328,,,,0.0,-0.0,0.0,,,,
1767723994.022839,,,,,,,110,,,
1767723994.0353627,,,,,,,,0.0,57.0,0.0
1767723994.0502083,314.044,191.371,211.178,,,,,,,
1767723994.0615244,,,,0.0,-0.0,0.0,,,,
1767723994.0680184,,,,,,,111,,,
1767723994.085487,,,,,,,,0.0,54.0,0.0
1767723994.0985758,314.044,191.371,211.5655,,,,,,,
1767723994.1116712,,,,0.0,-0.0,0.0,,,,
1767723994.118397,,,,,,,112,,,
1767723994.1356227,,,,,,,,0.0,54.0,0.0
1767723994.152139,314.7755,354.5595,211.5655,,,,,,,
1767723994.1618614,,,,0.0,-0.0,0.0,,,,
1767723994.1670732,,,,,,,113,,,
1767723994.185799,,,,,,,,0.0,51.0,0.0
1767723994.1995335,314.7755,354.5595,213.091,,,,,,,
1767723994.211616,,,,0.0,-0.0,0.0,,,,
1767723994.217832,,,,,,,114,,,
1767723994.2353456,,,,,,,,0.0,51.0,0.0
1767723994.2509942,314.7755,354.5595,213.454,,,,,,,
1767723994.2612734,,,,0.0,-0.0,0.0,,,,
1767723994.2664165,,,,,,,115,,,
1767723994.2853875,,,,,,,,0.0,48.0,0.0
1767723994.2978728,315.764,256.2585,160.6935,,,,,,,
1767723994.3123174,,,,0.0,-0.0,0.0,,,,
1767723994.3190615,,,,,,,116,,,
1767723994.3353536,,,,,,,,0.0,48.0,0.0
1767723994.3476467,315.764,256.2585,638.281,,,,,,,
1767723994.3615265,,,,0.0,-0.0,0.0,,,,
1767723994.3698056,,,,,,,117,,,
1767723994.3854935,,,,,,,,0.0,45.0,0.0
1767723994.3967717,315.764,256.2585,638.281,,,,,,,
1767723994.4119756,,,,0.0,-0.0,0.0,,,,
1767723994.424785,,,,,,,118,,,
1767723994.4353337,,,,,,,,0.0,45.0,0.0
1767723994.4476964,315.764,256.2585,322.293,,,,,,,
1767723994.461825,,,,0.0,-0.0,0.0,,,,
1767723994.4701672,,,,,,,119,,,
1767723994.4853923,,,,,,,,0.0,42.0,0.0
1767723994.497131,316.8125,256.2585,322.293,,,,,,,
1767723994.511836,,,,0.0,-0.0,0.0,,,,
1767723994.522222,,,,,,,120,,,
1767723994.5354037,,,,,,,,0.0,42.0,0.0
1767723994.5483882,316.8125,256.2585,114.6715,,,,,,,
1767723994.5617273,,,,0.0,-0.0,0.0,,,,
1767723994.5682847,,,,,,,121,,,
1767723994.5855749,,,,,,,,0.0,39.0,0.0
1767723994.5975645,316.8125,256.2585,114.6715,,,,,,,
1767723994.6119413,,,,0.0,-0.0,0.0,,,,
1767723994.6208115,,,,,,,122,,,
1767723994.63538,,,,,,,,0.0,39.0,0.0
1767723994.6481407,316.8125,256.2585,217.682,,,,,,,
1767723994.661537,,,,0.0,-0.0,0.0,,,,
1767723994.667124,,,,,,,123,,,
1767723994.6864033,,,,,,,,0.0,36.0,0.0
1767723994.6967115,316.8125,256.2585,218.299,,,,,,,
1767723994.7115777,,,,0.0,-0.0,0.0,,,,
1767723994.7196805,,,,,,,124,,,
1767723994.735611,,,,,,,,0.0,36.0,0.0
1767723994.748939,316.8125,256.2585,218.404,,,,,,,
1767723994.761421,,,,0.0,-0.0,0.0,,,,
1767723994.7673218,,,,,,,125,,,
1767723994.7853425,,,,,,,,0.0,33.0,0.0
1767723994.7968109,316.8125,256.2585,60.565,,,,,,,
1767723994.8118553,,,,0.0,-0.0,0.0,,,,
1767723994.8232987,,,,,,,126,,,
1767723994.8353462,,,,,,,,0.0,33.0,0.0
