timestamp,/load_data_x,/load_data_y,/load_data_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/motor_status_x,/motor_status_y,/motor_status_z,/video_frames_z
1767723868.9860396,,,,,,,0.0,0.0,0.0,
1767723868.9980295,311.119,280.7515,205.6585,,,,,,,
1767723869.016108,,,,0.0,-0.0,0.0,,,,
1767723869.0195897,,,,,,,,,,21
1767723869.0356271,,,,,,,0.0,0.0,0.0,
1767723869.052251,311.119,280.7515,109.0605,,,,,,,
1767723869.0629096,,,,0.0,-0.0,0.0,,,,
1767723869.0680006,,,,,,,,,,22
1767723869.0855944,,,,,,,0.0,0.0,0.0,
1767723869.0987313,311.119,280.714,205.503,,,,,,,
1767723869.1140842,,,,0.0,-0.0,0.0,,,,
1767723869.121358,,,,,,,,,,23
1767723869.13547,,,,,,,0.0,0.0,0.0,
1767723869.151245,311.1025,280.714,205.503,,,,,,,
1767723869.1633642,,,,0.0,-0.0,0.0,,,,
1767723869.1682093,,,,,,,,,,24
1767723869.1855497,,,,,,,0.0,0.0,0.0,
1767723869.1978822,311.1025,280.714,108.8025,,,,,,,
1767723869.2155747,,,,0.0,-0.0,0.0,,,,
1767723869.220021,,,,,,,,,,25
1767723869.23587,,,,,,,0.0,0.0,0.0,
1767723869.2496521,311.1025,280.714,205.4875,,,,,,,
1767723869.2627378,,,,0.0,-0.0,0.0,,,,
1767723869.2681284,,,,,,,,,,26
1767723869.285427,,,,,,,0.0,0.0,0.0,
1767723869.300166,311.1025,280.162,205.652,,,,,,,
1767723869.3139365,,,,0.0,-0.0,0.0,,,,
1767723869.3196476,,,,,,,,,,27
1767723869.3368323,,,,,,,0.0,0.0,0.0,
1767723869.3510938,311.0835,280.162,108.8745,,,,,,,
1767723869.3618882,,,,0.0,-0.0,0.0,,,,
1767723869.3692398,,,,,,,,,,28
1767723869.3885634,,,,,,,0.0,0.0,0.0,
1767723869.4031143,311.0835,280.162,205.365,,,,,,,
1767723869.4145808,,,,0.0,-0.0,0.0,,,,
1767723869.4195735,,,,,,,,,,29
1767723869.4357042,,,,,,,0.0,0.0,0.0,
1767723869.4513853,311.0835,280.162,205.365,,,,,,,
