timestamp,/motor_status_x,/motor_status_y,/motor_status_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/video_frames_z,/load_data_x,/load_data_y,/load_data_z
1767723322.910683,,,,0.0,-0.0,0.0,,,,
1767723322.9110003,,,,,,,,276.109,197.5795,177.915
1767723322.9505596,0.0,0.0,0.0,,,,,,,
1767723322.954717,,,,,,,54,,,
1767723322.9608226,,,,0.0,-0.0,0.0,,,,
1767723322.9655998,,,,,,,,276.0885,197.5795,177.8995
1767723322.998405,0.0,0.0,0.0,,,,,,,
1767723323.0062137,,,,,,,55,,,
1767723323.0087698,,,,0.0,-0.0,0.0,,,,
1767723323.0157065,,,,,,,,276.0885,197.5795,177.711
1767723323.0491376,-1.0,-1.0,-1.0,,,,,,,
1767723323.0563836,,,,,,,56,,,
1767723323.0585392,,,,0.0,-0.0,0.0,,,,
1767723323.061674,,,,,,,,276.0885,197.5795,177.0485
1767723323.099364,-1.0,-1.0,-1.0,,,,,,,
1767723323.10465,,,,,,,57,,,
1767723323.1089506,,,,0.0,-0.0,0.0,,,,
1767723323.1143713,,,,,,,,276.0885,197.5795,177.0485
1767723323.1490622,-2.0,-2.0,-2.0,,,,,,,
1767723323.1577618,,,,,,,58,,,
1767723323.1588433,,,,0.0,-0.0,0.0,,,,
1767723323.1608248,,,,,,,,272.588,197.5795,177.973
1767723323.1985626,-2.0,-2.0,-2.0,,,,,,,
1767723323.2066193,,,,,,,59,,,
1767723323.2088428,,,,0.0,-0.0,0.0,,,,
1767723323.2142446,,,,,,,,272.588,197.5795,177.8765
1767723323.2489755,-3.0,-3.0,-3.0,,,,,,,
1767723323.2561202,,,,,,,60,,,
1767723323.2585669,,,,0.0,-0.0,0.0,,,,
1767723323.260658,,,,,,,,272.588,197.5795,177.553
1767723323.2986245,-3.0,-3.0,-3.0,,,,,,,
1767723323.305296,,,,,,,61,,,
1767723323.3089168,,,,0.0,-0.0,0.0,,,,
1767723323.3115864,,,,,,,,272.588,197.5795,67.6655
1767723323.3486373,-4.0,-4.0,-4.0,,,,,,,
1767723323.3558915,,,,,,,62,,,
1767723323.358733,,,,0.0,-0.0,0.0,,,,
1767723323.36103,,,,,,,,272.588,197.5795,67.6655
1767723323.3985138,-4.0,-4.0,-4.0,,,,,,,
1767723323.4067972,,,,,,,63,,,
1767723323.4100993,,,,0.0,-0.0,0.0,,,,
1767723323.410205,,,,,,,,272.588,197.5795,177.3455
1767723323.4495497,-5.0,-5.0,-5.0,,,,,,,
1767723323.4572334,,,,,,,64,,,
1767723323.4585967,,,,0.0,-0.0,0.0,,,,
1767723323.4612486,,,,,,,,272.588,197.5795,177.3375
1767723323.4986086,-5.0,-5.0,-5.0,,,,,,,
1767723323.506952,,,,,,,65,,,
1767723323.5096796,,,,0.0,-0.0,0.0,,,,
1767723323.511737,,,,,,,,272.588,197.5795,177.363
1767723323.5496619,-6.0,-6.0,-6.0,,,,,,,
1767723323.555474,,,,,,,66,,,
1767723323.5588272,,,,0.0,-0.0,0.0,,,,
1767723323.5620837,,,,,,,,272.588,197.5795,177.3305
1767723323.5982869,-6.0,-6.0,-6.0,,,,,,,
1767723323.6051922,,,,,,,67,,,
1767723323.6104043,,,,0.0,-0.0,0.0,,,,
1767723323.6136107,,,,,,,,272.588,197.5795,177.283
1767723323.649005,-7.0,-7.0,-7.0,,,,,,,
1767723323.6560168,,,,,,,68,,,
1767723323.658395,,,,0.0,-0.0,0.0,,,,
1767723323.6616592,,,,,,,,272.588,132.4215,177.107
1767723323.6985128,-7.0,-7.0,-7.0,,,,,,,
1767723323.7075474,,,,,,,69,,,
1767723323.7106016,,,,0.0,-0.0,0.0,,,,
1767723323.7123725,,,,,,,,272.588,132.4215,177.0415
1767723323.7485545,-8.0,-8.0,-8.0,,,,,,,
1767723323.7557168,,,,,,,70,,,
1767723323.7582805,,,,0.0,-0.0,0.0,,,,
1767723323.76029,,,,,,,,272.588,132.4215,177.261
1767723323.7983418,-8.0,-8.0,-8.0,,,,,,,
1767723323.8062193,,,,,,,71,,,
1767723323.8094783,,,,0.0,-0.0,0.0,,,,
1767723323.811508,,,,,,,,272.588,132.4215,177.0135
1767723323.8496215,-9.0,-9.0,-9.0,,,,,,,
1767723323.8577173,,,,,,,72,,,
1767723323.858659,,,,0.0,-0.0,0.0,,,,
1767723323.861807,,,,,,,,272.588,253.2465,176.961
1767723323.8985898,-9.0,-9.0,-9.0,,,,,,,
1767723323.9055853,,,,,,,73,,,
1767723323.908582,,,,0.0,-0.0,0.0,,,,
1767723323.9118812,,,,,,,,272.588,253.2465,176.8865
1767723323.949831,-10.0,-10.0,-10.0,,,,,,,
1767723323.9573076,,,,,,,74,,,
1767723323.9588645,,,,0.0,-0.0,0.0,,,,
1767723323.961523,,,,,,,,272.588,253.2465,176.872
1767723323.99829,-10.0,-10.0,-10.0,,,,,,,
1767723324.0058384,,,,,,,75,,,
1767723324.008822,,,,0.0,-0.0,0.0,,,,
1767723324.0114987,,,,,,,,272.588,253.2465,176.7235
1767723324.048884,-10.0,-10.0,-10.0,,,,,,,
1767723324.0579267,,,,,,,76,,,
1767723324.0589364,,,,0.0,-0.0,0.0,,,,
1767723324.0635204,,,,,,,,141.752,253.2465,176.75
1767723324.098623,-11.0,-11.0,-11.0,,,,,,,
1767723324.1061478,,,,,,,77,,,
1767723324.1086128,,,,0.0,-0.0,0.0,,,,
1767723324.1119838,,,,,,,,141.752,253.2465,176.7465
1767723324.1486788,-11.0,-11.0,-11.0,,,,,,,
1767723324.1552947,,,,,,,78,,,
1767723324.1595733,,,,0.0,-0.0,0.0,,,,
1767723324.161514,,,,,,,,141.752,253.2465,176.5685
1767723324.198365,-12.0,-12.0,-12.0,,,,,,,
1767723324.205416,,,,,,,79,,,
1767723324.2086794,,,,0.0,-0.0,0.0,,,,
1767723324.2129843,,,,,,,,141.752,253.2465,176.5685
1767723324.2492115,-12.0,-12.0,-12.0,,,,,,,
1767723324.2561448,,,,,,,80,,,
1767723324.2583294,,,,0.0,-0.0,0.0,,,,
1767723324.2609878,,,,,,,,275.801,253.2465,176.4945
1767723324.298394,-13.0,-13.0,-13.0,,,,,,,
1767723324.3045237,,,,,,,81,,,
1767723324.3097067,,,,0.0,-0.0,0.0,,,,
1767723324.3097703,,,,,,,,275.801,253.2465,176.3685
1767723324.349281,-13.0,-13.0,-13.0,,,,,,,
1767723324.3567135,,,,,,,82,,,
1767723324.3586292,,,,0.0,-0.0,0.0,,,,
1767723324.3604705,,,,,,,,275.801,253.2465,176.4545
1767723324.3984175,-14.0,-14.0,-14.0,,,,,,,
1767723324.4038408,,,,,,,83,,,
1767723324.4097655,,,,0.0,-0.0,0.0,,,,
1767723324.4106028,,,,,,,,275.667,131.225,176.4545
1767723324.4488528,-14.0,-14.0,-14.0,,,,,,,
1767723324.4561214,,,,,,,84,,,
1767723324.4586036,,,,0.0,-0.0,0.0,,,,
1767723324.4616349,,,,,,,,275.667,131.225,93.8065
1767723324.49854,-15.0,-15.0,-15.0,,,,,,,
1767723324.5053713,,,,,,,85,,,
1767723324.508713,,,,0.0,-0.0,0.0,,,,
1767723324.5103498,,,,,,,,275.667,131.225,176.31
1767723324.5490487,-15.0,-15.0,-15.0,,,,,,,
1767723324.5556576,,,,,,,86,,,
1767723324.5583768,,,,0.0,-0.0,0.0,,,,
1767723324.5608437,,,,,,,,275.667,131.225,173.1745
1767723324.5985246,-16.0,-16.0,-16.0,,,,,,,
1767723324.6050298,,,,,,,87,,,
1767723324.609867,,,,0.0,-0.0,0.0,,,,
1767723324.6125424,,,,,,,,206.694,131.225,173.1745
1767723324.648877,-16.0,-16.0,-16.0,,,,,,,
1767723324.6559837,,,,,,,88,,,
1767723324.658588,,,,0.0,-0.0,0.0,,,,
1767723324.6607516,,,,,,,,206.694,131.225,176.114
1767723324.6985812,-17.0,-17.0,-17.0,,,,,,,
1767723324.7054174,,,,,,,89,,,
1767723324.708598,,,,0.0,-0.0,0.0,,,,
1767723324.711204,,,,,,,,206.694,131.225,176.119
1767723324.7520888,-17.0,-17.0,-17.0,,,,,,,
1767723324.7583158,,,,,,,90,,,
1767723324.7589877,,,,0.0,-0.0,0.0,,,,
1767723324.762394,,,,,,,,206.694,131.225,175.8785
1767723324.7982056,-18.0,-18.0,-18.0,,,,,,,
1767723324.8045359,,,,,,,91,,,
1767723324.8107407,,,,0.0,-0.0,0.0,,,,
1767723324.8117788,,,,,,,,206.694,131.225,176.013
1767723324.8491833,-18.0,-18.0,-18.0,,,,,,,
1767723324.8569415,,,,,,,92,,,
1767723324.8586304,,,,0.0,-0.0,0.0,,,,
1767723324.860349,,,,,,,,206.694,131.225,175.8955
1767723324.8984132,-19.0,-19.0,-19.0,,,,,,,
1767723324.903866,,,,,,,93,,,
1767723324.9098954,,,,0.0,-0.0,0.0,,,,
1767723324.9110434,,,,,,,,206.694,131.225,176.955
1767723324.9488904,-19.0,-19.0,-19.0,,,,,,,
1767723324.9558027,,,,,,,94,,,
1767723324.9586294,,,,0.0,-0.0,0.0,,,,
1767723324.960253,,,,,,,,206.694,246.5445,176.955
1767723324.9983191,-20.0,-20.0,-20.0,,,,,,,
1767723325.0037794,,,,,,,95,,,
